date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:28:46	52/52	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%2251cb2e5d-20%22	https://learnxinyminutes.com/robots.txt		(from )
12:28:46	38851/38851	---MCZ	200	added ('OK')	text/html	etag:W/%2257c87c11-97c3%22	https://learnxinyminutes.com/	learnxinyminutes.com/index.html	(from )
12:28:46	9068/9068	---MCZ	200	added ('OK')	text/css	etag:W/%2251cb2e5d-236c%22	https://learnxinyminutes.com/css/normalize.css	learnxinyminutes.com/css/normalize.css	(from https://learnxinyminutes.com/)
12:28:46	5658/5658	---MCZ	200	added ('OK')	text/css	etag:W/%2251cb2e5d-161a%22	https://learnxinyminutes.com/css/main.css	learnxinyminutes.com/css/main.css	(from https://learnxinyminutes.com/)
12:28:47	4700/4700	---MCZ	200	added ('OK')	text/css	etag:W/%2256f312ce-125c%22	https://learnxinyminutes.com/css/screen.css	learnxinyminutes.com/css/screen.css	(from https://learnxinyminutes.com/)
12:28:47	3284/3284	---MCZ	200	added ('OK')	text/css	etag:W/%2251cb2e5d-cd4%22	https://learnxinyminutes.com/css/github.css	learnxinyminutes.com/css/github.css	(from https://learnxinyminutes.com/)
12:28:48	373/373	---MCZ	200	added ('OK')	application/javascript	etag:W/%225453c04a-175%22	https://learnxinyminutes.com/js/script.js	learnxinyminutes.com/js/script.js	(from https://learnxinyminutes.com/)
12:29:16	12868/12868	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-3244%22	https://learnxinyminutes.com/docs/asymptotic-notation/	learnxinyminutes.com/docs/asymptotic-notation/index.html	(from https://learnxinyminutes.com/)
12:29:17	11012/11012	---MCZ	200	added ('OK')	text/html	etag:W/%225734d696-2b04%22	https://learnxinyminutes.com/docs/es-es/asymptotic-notation-es/	learnxinyminutes.com/docs/es-es/asymptotic-notation-es/index.html	(from https://learnxinyminutes.com/)
12:29:17	11530/11530	---MCZ	200	added ('OK')	text/html	etag:W/%2257c7580e-2d0a%22	https://learnxinyminutes.com/docs/pt-br/asymptoticnotation-pt/	learnxinyminutes.com/docs/pt-br/asymptoticnotation-pt/index.html	(from https://learnxinyminutes.com/)
12:29:17	10411/10411	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-28ab%22	https://learnxinyminutes.com/docs/pt-br/asymptotic-notation-pt/	learnxinyminutes.com/docs/pt-br/asymptotic-notation-pt/index.html	(from https://learnxinyminutes.com/)
12:29:46	5995/5995	---MCZ	200	added ('OK')	text/html	etag:W/%2257c7580e-176b%22	https://learnxinyminutes.com/docs/binary-search/	learnxinyminutes.com/docs/binary-search/index.html	(from https://learnxinyminutes.com/)
12:29:46	6618/6618	---MCZ	200	added ('OK')	text/html	etag:W/%2257c7580e-19da%22	https://learnxinyminutes.com/docs/dynamic-programming/	learnxinyminutes.com/docs/dynamic-programming/index.html	(from https://learnxinyminutes.com/)
12:29:46	5758/5758	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-167e%22	https://learnxinyminutes.com/docs/asciidoc/	learnxinyminutes.com/docs/asciidoc/index.html	(from https://learnxinyminutes.com/)
12:29:47	6885/6885	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-1ae5%22	https://learnxinyminutes.com/docs/bf/	learnxinyminutes.com/docs/bf/index.html	(from https://learnxinyminutes.com/)
12:30:15	7304/7304	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-1c88%22	https://learnxinyminutes.com/docs/es-es/bf-es/	learnxinyminutes.com/docs/es-es/bf-es/index.html	(from https://learnxinyminutes.com/)
12:30:15	9285/9285	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-2445%22	https://learnxinyminutes.com/docs/fa-ir/bf-fa/	learnxinyminutes.com/docs/fa-ir/bf-fa/index.html	(from https://learnxinyminutes.com/)
12:30:15	7584/7584	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-1da0%22	https://learnxinyminutes.com/docs/fr-fr/bf-fr/	learnxinyminutes.com/docs/fr-fr/bf-fr/index.html	(from https://learnxinyminutes.com/)
12:30:16	7589/7589	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-1da5%22	https://learnxinyminutes.com/docs/it-it/bf-it/	learnxinyminutes.com/docs/it-it/bf-it/index.html	(from https://learnxinyminutes.com/)
12:30:16	1001/1001	---M--	200	added ('OK')	application/octet-stream	etag:%2256c689e6-3e9%22	https://learnxinyminutes.com/docs/files/asciidoc.md	learnxinyminutes.com/docs/files/asciidoc.md	(from https://learnxinyminutes.com/docs/asciidoc/)
12:30:45	7860/7860	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-1eb4%22	https://learnxinyminutes.com/docs/pl-pl/bf-pl/	learnxinyminutes.com/docs/pl-pl/bf-pl/index.html	(from https://learnxinyminutes.com/)
12:30:45	8043/8043	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-1f6b%22	https://learnxinyminutes.com/docs/ko-kr/bf-kr/	learnxinyminutes.com/docs/ko-kr/bf-kr/index.html	(from https://learnxinyminutes.com/)
12:30:45	7093/7093	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-1bb5%22	https://learnxinyminutes.com/docs/nl-nl/bf/	learnxinyminutes.com/docs/nl-nl/bf/index.html	(from https://learnxinyminutes.com/)
12:30:45	7376/7376	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-1cd0%22	https://learnxinyminutes.com/docs/pt-br/bf/	learnxinyminutes.com/docs/pt-br/bf/index.html	(from https://learnxinyminutes.com/)
12:30:46	7627/7627	---MCZ	200	added ('OK')	text/html	etag:W/%2257c7580e-1dcb%22	https://learnxinyminutes.com/docs/ro-ro/bf-ro/	learnxinyminutes.com/docs/ro-ro/bf-ro/index.html	(from https://learnxinyminutes.com/)
12:30:46	7293/7293	---MCZ	200	added ('OK')	text/html	etag:W/%2257365d7b-1c7d%22	https://learnxinyminutes.com/docs/tr-tr/bf-tr/	learnxinyminutes.com/docs/tr-tr/bf-tr/index.html	(from https://learnxinyminutes.com/)
12:30:46	9891/9891	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-26a3%22	https://learnxinyminutes.com/docs/ru-ru/bf/	learnxinyminutes.com/docs/ru-ru/bf/index.html	(from https://learnxinyminutes.com/)
12:30:46	6348/6348	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-18cc%22	https://learnxinyminutes.com/docs/zh-cn/bf-cn/	learnxinyminutes.com/docs/zh-cn/bf-cn/index.html	(from https://learnxinyminutes.com/)
12:30:46	3277/3277	---M--	200	added ('OK')	application/octet-stream	etag:%22548228a3-ccd%22	https://learnxinyminutes.com/docs/files/learnbrainfuck-fr.bf	learnxinyminutes.com/docs/files/learnbrainfuck-fr.bf	(from https://learnxinyminutes.com/docs/fr-fr/bf-fr/)
12:30:47	75564/75564	---MCZ	200	added ('OK')	text/html	etag:W/%2257c7580e-1272c%22	https://learnxinyminutes.com/docs/c/	learnxinyminutes.com/docs/c/index.html	(from https://learnxinyminutes.com/)
12:31:15	60727/60727	---MCZ	200	added ('OK')	text/html	etag:W/%2257c7580e-ed37%22	https://learnxinyminutes.com/docs/ru-ru/c-ru/	learnxinyminutes.com/docs/ru-ru/c-ru/index.html	(from https://learnxinyminutes.com/)
12:31:15	41567/41567	---MCZ	200	added ('OK')	text/html	etag:W/%2257c7580e-a25f%22	https://learnxinyminutes.com/docs/es-es/c-es/	learnxinyminutes.com/docs/es-es/c-es/index.html	(from https://learnxinyminutes.com/)
12:31:16	66912/66912	---MCZ	200	added ('OK')	text/html	etag:W/%2256f312ce-10560%22	https://learnxinyminutes.com/docs/pt-br/c-pt/	learnxinyminutes.com/docs/pt-br/c-pt/index.html	(from https://learnxinyminutes.com/)
